(349 12215 2316 1205 484.44993551707825 458.4389680090193 458.4391817487251 487.0729526060974 error 492.8170004343655 error 488.36706209541654 error error error error -57190.63343934635 -57190.63246500275 -57190.57475070821 -53148.27697701441 error -51954.43806150418 error -53563.704192130885 error error error error 175.85205051440087 175.85205051440087 175.85221703661276 191.81929500098488 error 194.98414352908637 error 189.58995471615208 error error error error error error error error error error error error error error error error 415.3076128366132 0.053970194873692985 2.4102313488599134e-13 3.294300933080242e-13 error 3.3727771498722724e-13 error 3.249428393925224e-13 error error error error 5091.6456883315695 0.32842903023844755 1.2685963390879351e-12 2.6201263381153694e-12 error 2.7620128406624644e-12 error 2.6481039583359234e-12 error error error error , Any[], Any[])
(349 12215 2316 3701 523.0230839189936 515.6399564460522 515.6399409931323 522.7616528541795 515.6399320843356 525.6360795184678 515.6399502091319 524.0732337189963 error error error error -98859.94035388622 -98859.94041880859 -98859.93568600161 -97618.34816304114 -98859.94035219056 -97351.05518972751 -98859.94035289032 -97775.80403765675 error error error error 301.16267539777846 301.16267539777846 301.1626867182684 304.2329595461056 301.162675479642 304.63412659470197 301.16267513798755 303.5850089068525 error error error error error error error error error error error error error error error error 128.94075227319323 0.0015469123184569393 1.4482901909757344e-13 1.4680305715061148e-13 1.550056732966899e-13 1.6838493155412242e-13 1.5477903647973615e-13 1.661304732705448e-13 error error error error 1459.420650210273 0.01677070360693972 1.218636302979803e-12 1.7690293674377244e-12 1.4468981568427353e-12 2.140732036082227e-12 1.4113710200547303e-12 1.9608759060929515e-12 error error error error , Any[], Any[])
(349 12215 2316 3701 523.2342270458969 515.6413911275981 515.6408003087233 522.4623545215134 515.6413414549536 526.2994476598498 515.6412308719266 525.5523025613504 error error error error -98859.94035727068 -98859.94003822691 -98859.7993296415 -96564.2899717107 -98859.93987088543 -96820.36979249492 -98859.93986369469 -97536.9486412472 error error error error 301.16267653832966 301.16267653832966 301.16302983836675 306.9894942632689 301.1626722406251 305.712938978109 301.16267676439907 304.26198780145495 error error error error error error error error error error error error error error error error 130.9280720552981 0.0323520850588367 2.535508171218468e-13 2.3584617993905546e-13 2.4395699202137345e-13 2.2806056418699605e-13 2.1147319866788776e-13 2.279615288825442e-13 error error error error 1601.563788156979 0.4113953530766309 1.376537772657116e-12 1.7645884753392238e-12 1.4880041643294817e-12 1.9804158313263542e-12 1.390748627372318e-12 1.9684254226604025e-12 error error error error , Any[], Any[])
(349 12215 2316 4949 540.5509207860877 535.4147476848259 535.4147340101142 539.0225110075038 535.4147635590144 543.7698818688011 535.4147609548754 542.0512522704164 error error error error -122576.30863458732 -122576.30849326948 -122576.30101996781 -121393.11913534712 -122576.3086342764 -121042.44169818636 -122576.30863437071 -121490.16641287367 error error error error 350.8532322529086 350.8532322529086 350.8532487086389 353.27498628243006 350.85323207310444 353.806902029027 350.8532319750446 353.0815458655839 error error error error error error error error error error error error error error error error 102.47332887043353 0.0007539536349717315 1.345548626035468e-13 1.4853091256311106e-13 1.4520516068404427e-13 1.678514757938156e-13 1.5941213760351372e-13 1.5091112554976764e-13 error error error error 1268.1554284722433 0.009791694031779374 1.2722045639179669e-12 1.752153977463422e-12 1.343702926703827e-12 1.9826362773756045e-12 1.4374057499821902e-12 1.8600676554569873e-12 error error error error , Any[], Any[])
(349 12215 2316 4949 541.1613680486068 535.4151337752534 535.4147913132034 540.0305775799711 535.4150252113423 544.3681331889767 535.4151191485641 543.111380470301 error error error error -122576.30863539575 -122576.3055381704 -122576.24062122275 -120360.68347020342 -122576.30855247482 -120649.87955615348 -122576.30856177668 -121338.17979710783 error error error error 350.85323467761987 350.85323467761987 350.85337772138973 355.57610486698627 350.8532317102277 354.4992954014363 350.853228309723 353.3226440742016 error error error error error error error error error error error error error error error error 114.5237586537304 0.013908883736494149 8.963791093103553e-14 1.3282555336318026e-13 1.1222026473369183e-13 1.5348069390716332e-13 9.939274340732513e-14 1.503114056464183e-13 error error error error 1408.2573198059085 0.18636289906244763 1.1987077996877815e-12 1.6779910794184616e-12 1.4669376824372193e-12 2.0874413309002193e-12 1.3381518115807012e-12 2.0230483954719602e-12 error error error error , Any[], Any[])
(349 12215 8899 517 582.3661239299299 319.13691267322196 319.13691267322196 598.0950826732824 319.13691267322196 579.094664484843 319.13691267322196 599.1413868959183 error error error error -16946.88213689601 -16946.882133712726 -16946.882133712726 -8047.289335167186 -16946.882133712726 8476.147720032439 -16946.882133712726 -2541.828020132159 error error error error 70.1339542944857 70.1339542944857 70.13395429448572 128.98576100235204 70.1339542944857 195.9500075064932 70.1339542944857 154.3892931852625 error error error error error error error error error error error error error error error error 2435.998255468684 5.741386294525648e-13 5.5306249167478824e-14 6.348646286689976e-13 2.246270052152088e-13 1.985555920304925e-12 3.0697674284999055e-13 6.945060096170516e-13 error error error error 38071.19797425662 3.5308145296397697e-12 7.036315974318086e-13 8.43902725478074e-12 1.8417212199750566e-12 1.5236034656140873e-11 1.7459089729499055e-12 9.285683333359884e-12 error error error error , Any[], Any[])
(349 12215 8899 517 590.2148047846981 319.1369127048355 319.1369127048355 597.6608557940339 319.1369127048355 577.864666184251 319.1369127048355 599.2312423517243 error error error error -16946.882139479912 -16946.882133712726 -16946.882133712726 -6095.44469778547 -16946.882133712726 10531.580093125956 -16946.882133712726 -1560.3162818443407 error error error error 70.1339542944857 70.1339542944857 70.13395429448572 139.60157717733503 70.1339542944857 203.07821080721553 70.1339542944857 159.62358861665948 error error error error error error error error error error error error error error error error 2948.3243431234164 5.787230889783314e-13 6.194010396429596e-14 1.0350276948478064e-12 3.717052562128671e-13 2.673233084816118e-12 4.18359437703471e-13 2.1211373021036322e-12 error error error error 47132.74856060156 3.605143961138424e-12 7.359390874484006e-13 1.0695666574633833e-11 1.952465966681416e-12 2.0728974092776298e-11 1.819017159121472e-12 1.2681633521083313e-11 error error error error , Any[], Any[])
(349 12215 8899 1205 585.4806243196688 348.7715380081592 348.7715380081592 594.5974508193411 348.7715380081592 575.9554293732219 348.7715380081592 594.809447613198 error error error error -23378.275173463186 -23378.275170563367 -23378.275170563367 -12357.6473807601 -23378.275170563367 2917.52303749532 -23378.275170563367 -9065.79107574784 error error error error 101.3616062693281 101.3616062693281 101.3616062693281 154.32990771718238 101.3616062693281 211.77485786002234 101.3616062693281 171.018123617391 error error error error error error error error error error error error error error error error 2390.7522335439135 3.8875295571285057e-13 5.4884761192705987e-14 5.906834736977368e-13 3.5380781697345867e-13 1.1280042788644207e-12 3.585505060564825e-13 6.999328483122974e-13 error error error error 37855.65894196193 2.508410146262463e-12 6.964151477717451e-13 7.58371143660952e-12 1.899341794953102e-12 1.3877676785511994e-11 1.7945367414284874e-12 8.704148513061227e-12 error error error error , Any[], Any[])
(349 12215 8899 1205 589.0234939235859 348.77153800313846 348.77153800313846 592.1016347648497 348.77153800313846 575.4519729988554 348.77153800313846 593.5667928531731 error error error error -23378.27517462 -23378.275170563367 -23378.275170563367 -11647.775406661205 -23378.275170563367 2560.7853008513785 -23378.275170563367 -10863.42030553556 error error error error 101.3616062693281 101.3616062693281 101.3616062693281 159.4442268808696 101.3616062693281 210.32107708244178 101.3616062693281 163.5347147370911 error error error error error error error error error error error error error error error error 2642.642426137813 3.738554749628603e-13 5.350727901001653e-14 8.437153882158271e-13 2.823122405055528e-13 1.7435768239526463e-12 2.241745797780396e-13 8.398489284635261e-13 error error error error 42261.71081935486 2.4997781622460025e-12 7.099876242477876e-13 9.176215343131844e-12 1.7028600751700651e-12 1.7649215422466114e-11 1.5947243525715749e-12 9.306111437012987e-12 error error error error , Any[], Any[])
(349 12215 8899 3701 597.8984983905949 439.98875433909774 439.98875433909774 602.3192986273252 439.98875433909774 600.0453036322822 439.98875433909774 603.6886380564184 error error error error -48229.26990116923 -48229.269898915896 -48229.269898915896 -37327.374786836925 -48229.269898915896 -29744.189923076534 -48229.269898915896 -39896.80423643982 error error error error 192.0801721619151 192.0801721619151 192.0801721619151 223.8253756823414 192.0801721619151 248.07335562010303 192.0801721619151 218.99816938418945 error error error error error error error error error error error error error error error error 1544.9082249517794 5.233967841229164e-13 2.143383061553384e-13 5.238512724339944e-13 3.416146933261406e-13 7.653953301616067e-13 1.1432156704500707e-13 5.214581278421557e-13 error error error error 23868.375815478706 4.189537605725491e-12 1.0424439089717907e-12 5.639932965095795e-12 1.911248936892207e-12 8.611444890505027e-12 1.5895618155070679e-12 5.929035040708186e-12 error error error error , Any[], Any[])
